norad_id,satellite_name,observation_start_utc,observation_end_utc,peak_elevation
46114,0 GALAXY 30,2025-10-07T13:45:00Z,2025-10-07T13:46:30Z,10.8
33275,0 AMC-21,2025-10-07T13:48:30Z,2025-10-07T13:50:00Z,11.25
22253,0 SUPERBIRD A1,2025-10-07T13:52:00Z,2025-10-07T13:53:30Z,11.84
33463,0 FENGYUN 2E,2025-10-07T13:55:30Z,2025-10-07T13:57:00Z,13.85
54243,0 GALAXY 31,2025-10-07T13:59:00Z,2025-10-07T14:00:30Z,14.22
9047,0 COMSTAR 2,2025-10-07T14:02:30Z,2025-10-07T14:04:00Z,15.26
23537,0 HOT BIRD 1,2025-10-07T14:06:00Z,2025-10-07T14:07:30Z,14.78
15994,0 ASC 1,2025-10-07T14:09:30Z,2025-10-07T14:11:00Z,16.17
31102,0 ANIK F3,2025-10-07T14:13:00Z,2025-10-07T14:14:30Z,16.23
23176,0 BS-3N,2025-10-07T14:16:30Z,2025-10-07T14:18:00Z,17.17
39122,0 EUTE 117 WEST A(SATMEX 8,2025-10-07T14:20:00Z,2025-10-07T14:21:30Z,17.74
37843,0 VIASAT 1,2025-10-07T14:23:30Z,2025-10-07T14:25:00Z,19.14
40425,0 EUTE 115 WEST B(SATMEX 7,2025-10-07T14:27:00Z,2025-10-07T14:28:30Z,19.36
22087,0 OPTUS B1 (AUSSAT B1),2025-10-07T14:30:30Z,2025-10-07T14:32:00Z,20.26
15993,0 OPTUS A1 (AUSSAT 1),2025-10-07T14:34:00Z,2025-10-07T14:35:30Z,23.54
49817,0 STPSAT-6,2025-10-07T14:37:30Z,2025-10-07T14:39:00Z,22.02
40946,0 MORELOS 3,2025-10-07T14:41:00Z,2025-10-07T14:42:30Z,22.74
4353,0 NATO 2A,2025-10-07T14:44:30Z,2025-10-07T14:46:00Z,23.19
21653,0 INTELSAT 605,2025-10-07T14:48:00Z,2025-10-07T14:49:30Z,25.25
14328,0 SATCOM 2R,2025-10-07T14:51:30Z,2025-10-07T14:53:00Z,26.88
35491,0 GOES 14,2025-10-07T14:55:00Z,2025-10-07T14:56:30Z,24.99
38551,0 ECHOSTAR 17,2025-10-07T14:58:30Z,2025-10-07T15:00:00Z,25.73
28868,0 ANIK F1-R,2025-10-07T15:02:00Z,2025-10-07T15:03:30Z,27.03
19765,0 GORIZONT 17,2025-10-07T15:05:30Z,2025-10-07T15:07:00Z,30.87
12677,0 HIMAWARI 2 (GMS 2),2025-10-07T15:09:00Z,2025-10-07T15:10:30Z,30.12
13631,0 SATCOM C5,2025-10-07T15:12:30Z,2025-10-07T15:14:00Z,32.3
31862,0 DIRECTV 10,2025-10-07T15:16:00Z,2025-10-07T15:17:30Z,29.27
20762,0 THOR 1 (MARCOPOLO 2),2025-10-07T15:19:30Z,2025-10-07T15:21:00Z,32.79
8366,0 GOES 1 (SMS-C),2025-10-07T15:23:00Z,2025-10-07T15:24:30Z,31.24
15677,0 GSTAR 1,2025-10-07T15:26:30Z,2025-10-07T15:28:00Z,35.78
40333,0 DIRECTV 14,2025-10-07T15:30:00Z,2025-10-07T15:31:30Z,32.02
37218,0 SKYTERRA 1,2025-10-07T15:33:30Z,2025-10-07T15:35:00Z,33.5
41893,0 ECHOSTAR 19,2025-10-07T15:37:00Z,2025-10-07T15:38:30Z,33.69
38093,0 MUOS 1,2025-10-07T15:40:30Z,2025-10-07T15:42:00Z,35.47
26853,0 ASTRA 2C,2025-10-07T15:44:00Z,2025-10-07T15:45:30Z,35.54
54741,0 GALAXY 35,2025-10-07T15:47:30Z,2025-10-07T15:49:00Z,36.66
27445,0 GALAXY 3C,2025-10-07T15:51:00Z,2025-10-07T15:52:30Z,37.16
10787,0 OPS 8790,2025-10-07T15:54:30Z,2025-10-07T15:56:00Z,39.06
