norad_id,satellite_name,observation_start_utc,observation_end_utc,peak_elevation
32951,0 GALAXY 18,2025-10-09T13:45:00Z,2025-10-09T13:46:30Z,12.51
13069,0 WESTAR 4,2025-10-09T13:48:30Z,2025-10-09T13:50:00Z,20.96
24957,0 NSS 5 (INTELSAT 803),2025-10-09T13:52:00Z,2025-10-09T13:53:30Z,20.45
28935,0 ECHOSTAR 10,2025-10-09T13:55:30Z,2025-10-09T13:57:00Z,23.27
29643,0 WILDBLUE 1,2025-10-09T13:59:00Z,2025-10-09T14:00:30Z,23.08
33207,0 ECHOSTAR 11,2025-10-09T14:02:30Z,2025-10-09T14:04:00Z,23.49
42070,0 ECHOSTAR 23,2025-10-09T14:06:00Z,2025-10-09T14:07:30Z,23.47
28378,0 ANIK F2,2025-10-09T14:09:30Z,2025-10-09T14:11:00Z,23.3
15152,0 HIMAWARI 3 (GMS 3),2025-10-09T14:13:00Z,2025-10-09T14:14:30Z,28.35
39127,0 ANIK G1,2025-10-09T14:16:30Z,2025-10-09T14:18:00Z,25.61
28446,0 AMC-15,2025-10-09T14:20:00Z,2025-10-09T14:21:30Z,27.43
19483,0 GSTAR 3,2025-10-09T14:23:30Z,2025-10-09T14:25:00Z,30.75
22927,0 TELSTAR 401,2025-10-09T14:27:00Z,2025-10-09T14:28:30Z,30.36
5587,0 OPS 9431 (DSCS 2-1),2025-10-09T14:30:30Z,2025-10-09T14:32:00Z,27.91
4250,0 SKYNET 1,2025-10-09T14:34:00Z,2025-10-09T14:35:30Z,27.83
41866,0 GOES 16,2025-10-09T14:37:30Z,2025-10-09T14:39:00Z,27.76
8482,0 OPS 3165,2025-10-09T14:41:00Z,2025-10-09T14:42:30Z,28.16
25019,0 USA 134,2025-10-09T14:44:30Z,2025-10-09T14:46:00Z,29.12
16649,0 GSTAR 2,2025-10-09T14:48:00Z,2025-10-09T14:49:30Z,31.87
27632,0 NIMIQ 2,2025-10-09T14:51:30Z,2025-10-09T14:53:00Z,28.46
3029,0 ATS 3,2025-10-09T14:55:00Z,2025-10-09T14:56:30Z,28.27
55970,0 SES 18,2025-10-09T14:58:30Z,2025-10-09T15:00:00Z,28.99
53960,0 SES 20,2025-10-09T15:02:00Z,2025-10-09T15:03:30Z,29.02
37748,0 SES 3,2025-10-09T15:05:30Z,2025-10-09T15:07:00Z,29.35
36131,0 DIRECTV 12,2025-10-09T15:09:00Z,2025-10-09T15:10:30Z,29.33
23670,0 TELSTAR 4 (TELSTAR 402R),2025-10-09T15:12:30Z,2025-10-09T15:14:00Z,31.39
28154,0 AMC-10 (GE-10),2025-10-09T15:16:00Z,2025-10-09T15:17:30Z,30.54
38049,0 FENGYUN 2F,2025-10-09T15:19:30Z,2025-10-09T15:21:00Z,30.7
44333,0 AT&T T-16,2025-10-09T15:23:00Z,2025-10-09T15:24:30Z,30.8
49115,0 TJS-7,2025-10-09T15:26:30Z,2025-10-09T15:28:00Z,31.79
29236,0 GALAXY 16,2025-10-09T15:30:00Z,2025-10-09T15:31:30Z,32.21
55247,0 LINUSS2,2025-10-09T15:33:30Z,2025-10-09T15:35:00Z,34.73
57479,0 JUPITER 3 (ECHOSTAR 24),2025-10-09T15:37:00Z,2025-10-09T15:38:30Z,35.07
40271,0 INTELSAT 30,2025-10-09T15:40:30Z,2025-10-09T15:42:00Z,35.23
41581,0 INTELSAT 31,2025-10-09T15:44:00Z,2025-10-09T15:45:30Z,35.22
55246,0 LINUSS1,2025-10-09T15:47:30Z,2025-10-09T15:49:00Z,40.8
43226,0 GOES 17,2025-10-09T15:51:00Z,2025-10-09T15:52:30Z,39.39
8746,0 LES 8,2025-10-09T15:54:30Z,2025-10-09T15:56:00Z,41.6
56370,0 VIASAT 3-F1,2025-10-09T15:58:00Z,2025-10-09T15:59:30Z,39.63
54742,0 GALAXY 36,2025-10-09T16:01:30Z,2025-10-09T16:03:00Z,39.58
28626,0 XM-3,2025-10-09T16:05:00Z,2025-10-09T16:06:30Z,41.43
36395,0 SDO,2025-10-09T16:08:30Z,2025-10-09T16:10:00Z,37.19
24812,0 GALAXY 25 (TELSTAR 5),2025-10-09T16:12:00Z,2025-10-09T16:13:30Z,44.56
32018,0 SPACEWAY 3,2025-10-09T16:15:30Z,2025-10-09T16:17:00Z,43.46
48838,0 XM-8,2025-10-09T16:19:00Z,2025-10-09T16:20:30Z,42.26
