norad_id,satellite_name,observation_start_utc,observation_end_utc,peak_elevation
13269,0 WESTAR 5,2025-10-08T13:45:00Z,2025-10-08T13:46:30Z,11.76
13431,0 ANIK D1 (TELESAT 6),2025-10-08T13:48:30Z,2025-10-08T13:50:00Z,12.62
39256,0 AEHF 3 (USA 246),2025-10-08T13:52:00Z,2025-10-08T13:53:30Z,12.36
28659,0 DIRECTV 8,2025-10-08T13:55:30Z,2025-10-08T13:57:00Z,15.85
36499,0 ECHOSTAR 14,2025-10-08T13:59:00Z,2025-10-08T14:00:30Z,15.98
36792,0 ECHOSTAR 15,2025-10-08T14:02:30Z,2025-10-08T14:04:00Z,16.07
41589,0 EUTE 117W B,2025-10-08T14:06:00Z,2025-10-08T14:07:30Z,17.61
27691,0 USA 167,2025-10-08T14:09:30Z,2025-10-08T14:11:00Z,17.96
64290,0 SIRIUS XM-10,2025-10-08T14:13:00Z,2025-10-08T14:14:30Z,18.33
20168,0 TVSAT 2,2025-10-08T14:16:30Z,2025-10-08T14:18:00Z,18.87
39360,0 SIRIUS FM-6,2025-10-08T14:20:00Z,2025-10-08T14:21:30Z,18.33
37185,0 XM-5,2025-10-08T14:23:30Z,2025-10-08T14:25:00Z,19.1
39035,0 MEXSAT 3,2025-10-08T14:27:00Z,2025-10-08T14:28:30Z,19.41
30323,0 BEIDOU 1D,2025-10-08T14:30:30Z,2025-10-08T14:32:00Z,19.94
28252,0 AMC-11 (GE-11),2025-10-08T14:34:00Z,2025-10-08T14:35:30Z,22.5
23712,0 USA 115,2025-10-08T14:37:30Z,2025-10-08T14:39:00Z,23.29
27820,0 AMC-9 (GE-12),2025-10-08T14:41:00Z,2025-10-08T14:42:30Z,22.55
16482,0 SATCOM K1,2025-10-08T14:44:30Z,2025-10-08T14:46:00Z,24.91
27426,0 DIRECTV 5 (TEMPO 1),2025-10-08T14:48:00Z,2025-10-08T14:49:30Z,24.81
12003,0 RADUGA 7,2025-10-08T14:51:30Z,2025-10-08T14:53:00Z,26.41
35496,0 TERRESTAR 1,2025-10-08T14:55:00Z,2025-10-08T14:56:30Z,25.39
4902,0 NATO 2B,2025-10-08T14:58:30Z,2025-10-08T15:00:00Z,26.33
