norad_id,satellite_name,observation_start_utc,observation_end_utc,peak_elevation
37806,0 COSMOS 2473,2025-10-10T13:45:00Z,2025-10-10T13:46:30Z,30.67
22796,0 ACTS,2025-10-10T13:48:30Z,2025-10-10T13:50:00Z,36.66
8697,0 MARISAT 1,2025-10-10T13:52:00Z,2025-10-10T13:53:30Z,34.09
62457,0 NUVIEW BRAVO,2025-10-10T13:55:30Z,2025-10-10T13:57:00Z,43.39
8330,0 INTELSAT 4A-F1,2025-10-10T13:59:00Z,2025-10-10T14:00:30Z,44.23
33373,0 NIMIQ 4,2025-10-10T14:02:30Z,2025-10-10T14:04:00Z,44.08
42662,0 CHINASAT 16,2025-10-10T20:28:30Z,2025-10-10T20:30:00Z,44.22
63075,0 CHINASAT 10R,2025-10-10T20:32:00Z,2025-10-10T20:33:30Z,44.16
23415,0 DFH-3 1,2025-10-10T20:35:30Z,2025-10-10T20:37:00Z,43.95
50321,0 SHIYAN 12 01 (SY-12 01),2025-10-10T20:42:30Z,2025-10-10T20:44:00Z,43.7
31800,0 CHINASAT 6B,2025-10-10T20:46:00Z,2025-10-10T20:47:30Z,43.37
29349,0 KOREASAT 5,2025-10-10T20:49:30Z,2025-10-10T20:51:00Z,43.21
23435,0 USA 107,2025-10-10T20:53:00Z,2025-10-10T20:54:30Z,42.98
58995,0 TELKOMSAT 113BT,2025-10-10T20:56:30Z,2025-10-10T20:58:00Z,42.7
42984,0 KOREASAT 5A,2025-10-10T21:00:00Z,2025-10-10T21:01:30Z,42.58
8808,0 NATO 3A,2025-10-10T21:03:30Z,2025-10-10T21:05:00Z,41.95
12618,0 RADUGA 9,2025-10-10T21:07:00Z,2025-10-10T21:08:30Z,41.69
29163,0 THAICOM 5,2025-10-10T21:10:30Z,2025-10-10T21:12:00Z,41.27
58253,0 CHINASAT-6E,2025-10-10T21:14:00Z,2025-10-10T21:15:30Z,41.01
42691,0 KOREASAT 7,2025-10-10T21:17:30Z,2025-10-10T21:19:00Z,40.8
40938,0 BD-20,2025-10-10T21:21:00Z,2025-10-10T21:22:30Z,40.79
61910,0 KOREASAT 6A,2025-10-10T21:24:30Z,2025-10-10T21:26:00Z,40.69
45920,0 KOREASAT 116,2025-10-10T21:28:00Z,2025-10-10T21:29:30Z,40.59
14899,0 STTW-T2,2025-10-10T21:31:30Z,2025-10-10T21:33:00Z,40.54
52940,0 WFOV (USA 332),2025-10-10T21:35:00Z,2025-10-10T21:36:30Z,40.32
23775,0 GORIZONT 31,2025-10-10T21:38:30Z,2025-10-10T21:40:00Z,40.14
46610,0 GAOFEN 13,2025-10-10T21:42:00Z,2025-10-10T21:43:30Z,39.53
41944,0 TELKOM 3S,2025-10-10T21:45:30Z,2025-10-10T21:47:00Z,39.37
20253,0 FLTSATCOM 8 (USA 46),2025-10-10T21:49:00Z,2025-10-10T21:50:30Z,39.26
62006,0 ADS-01,2025-10-10T21:52:30Z,2025-10-10T21:54:00Z,39.13
59020,0 TJS-11,2025-10-10T21:56:00Z,2025-10-10T21:57:30Z,38.81
43463,0 BANGABANDHUSAT-1,2025-10-10T21:59:30Z,2025-10-10T22:01:00Z,38.6
21227,0 SPACENET 4 (ASC 2),2025-10-10T22:03:00Z,2025-10-10T22:04:30Z,38.5
28786,0 IPSTAR 1,2025-10-10T22:06:30Z,2025-10-10T22:08:00Z,38.33
60606,0 CHINASAT 4A,2025-10-10T22:10:00Z,2025-10-10T22:11:30Z,38.3
39199,0 IRNSS R1A,2025-10-10T22:13:30Z,2025-10-10T22:15:00Z,38.22
40141,0 ASIASAT 6,2025-10-10T22:17:00Z,2025-10-10T22:18:30Z,38.02
19508,0 CS 3B,2025-10-10T22:20:30Z,2025-10-10T22:22:00Z,37.64
37256,0 BEIDOU 7,2025-10-10T22:24:00Z,2025-10-10T22:25:30Z,37.26
37950,0 AMOS 5,2025-10-10T22:27:30Z,2025-10-10T22:29:00Z,36.98
22096,0 SATCOM C4,2025-10-10T22:31:00Z,2025-10-10T22:32:30Z,36.77
42942,0 ASIASAT 9,2025-10-10T22:34:30Z,2025-10-10T22:36:00Z,36.44
41882,0 FENGYUN 4A,2025-10-10T22:38:00Z,2025-10-10T22:39:30Z,36.23
50322,0 SHIYAN 12 02 (SY-12 02),2025-10-10T22:41:30Z,2025-10-10T22:43:00Z,36.21
49330,0 SJ-21,2025-10-10T22:45:00Z,2025-10-10T22:46:30Z,35.91
62485,0 SJ-25,2025-10-10T22:48:30Z,2025-10-10T22:50:00Z,35.91
58582,0 YAOGAN-41,2025-10-10T22:52:00Z,2025-10-10T22:53:30Z,35.64
21765,0 INTELSAT 601,2025-10-10T22:55:30Z,2025-10-10T22:57:00Z,35.63
4297,0 INTELSAT 3-F6,2025-10-10T22:59:00Z,2025-10-10T23:00:30Z,35.26
57624,0 LUDI TANCE-4 01A,2025-10-10T23:02:30Z,2025-10-10T23:04:00Z,35.13
38331,0 JCSAT 13,2025-10-10T23:06:00Z,2025-10-10T23:07:30Z,35.04
43286,0 IRNSS 1I,2025-10-10T23:09:30Z,2025-10-10T23:11:00Z,34.76
36744,0 COMS 1,2025-10-10T23:13:00Z,2025-10-10T23:14:30Z,34.54
55686,0 CHINASAT-26,2025-10-10T23:16:30Z,2025-10-10T23:18:00Z,34.22
46916,0 TIANTONG-1 2,2025-10-10T23:20:00Z,2025-10-10T23:21:30Z,34.2
