night,norad_id,satellite_name,observation_start_utc,observation_end_utc,peak_elevation
1,36397,0 INTELSAT 16,2025-10-07T13:45:00Z,2025-10-07T13:46:30Z,47.23
1,8357,0 COSMOS 775,2025-10-07T19:37:30Z,2025-10-07T19:39:00Z,48.55
1,12120,0 EKRAN 6,2025-10-07T19:41:00Z,2025-10-07T19:42:30Z,56.45
1,21227,0 SPACENET 4 (ASC 2),2025-10-07T21:09:00Z,2025-10-07T21:10:30Z,38.5
1,38740,0 INTELSAT 20,2025-10-07T21:12:30Z,2025-10-07T21:14:00Z,51.86
1,62028,0 GSAT 20,2025-10-07T21:16:00Z,2025-10-07T21:17:30Z,51.84
1,20410,0 LEASAT 5,2025-10-07T21:19:30Z,2025-10-07T21:21:00Z,48.83
1,41434,0 BEIDOU IGSO-6,2025-10-07T21:23:00Z,2025-10-07T21:24:30Z,81.21
1,43867,0 COSMOS 2533,2025-10-07T21:26:30Z,2025-10-07T21:28:00Z,51.85
1,64470,0 CHINASAT-9C,2025-10-07T21:30:00Z,2025-10-07T21:31:30Z,51.42
1,14783,0 COSMOS 1540,2025-10-07T21:33:30Z,2025-10-07T21:35:00Z,62.22
1,42917,0 QZS-3,2025-10-07T21:37:00Z,2025-10-07T21:38:30Z,32.71
1,10365,0 EKRAN 2,2025-10-07T21:40:30Z,2025-10-07T21:42:00Z,53.49
1,58995,0 TELKOMSAT 113BT,2025-10-07T21:44:00Z,2025-10-07T21:45:30Z,42.7
1,29272,0 JCSAT 10,2025-10-07T21:47:30Z,2025-10-07T21:49:00Z,31.98
1,27400,0 ASTRA 3A,2025-10-07T21:51:00Z,2025-10-07T21:52:30Z,60.19
1,24798,0 DFH-3 2,2025-10-07T21:54:30Z,2025-10-07T21:56:00Z,61.05
1,40258,0 LUCH (OLYMP),2025-10-07T21:58:00Z,2025-10-07T21:59:30Z,51.09
1,28786,0 IPSTAR 1,2025-10-07T22:01:30Z,2025-10-07T22:03:00Z,38.33
1,23327,0 ELEKTRO (GOMS),2025-10-07T22:05:00Z,2025-10-07T22:06:30Z,67.22
1,53813,0 CHINASAT 1E,2025-10-07T22:08:30Z,2025-10-07T22:10:00Z,51.86
1,19508,0 CS 3B,2025-10-07T22:12:00Z,2025-10-07T22:13:30Z,37.64
1,21906,0 GALAXY 5,2025-10-07T22:15:30Z,2025-10-07T22:17:00Z,66.43
1,11440,0 GORIZONT 2,2025-10-07T22:19:00Z,2025-10-07T22:20:30Z,53.05
1,25239,0 NSS 806 (INTELSAT 806),2025-10-07T22:22:30Z,2025-10-07T22:24:00Z,52.31
1,45807,0 BEIDOU 3 G3,2025-10-07T22:26:00Z,2025-10-07T22:27:30Z,45.47
1,20643,0 INSAT 1D,2025-10-07T22:29:30Z,2025-10-07T22:31:00Z,67.76
1,37384,0 BEIDOU 8,2025-10-07T22:33:00Z,2025-10-07T22:34:30Z,68.68
1,16526,0 STTW-1,2025-10-07T22:36:30Z,2025-10-07T22:38:00Z,57.94
1,22245,0 GORIZONT 27,2025-10-07T22:40:00Z,2025-10-07T22:41:30Z,66.51
1,22175,0 HELLAS-SAT 1 (DFS 3),2025-10-07T22:43:30Z,2025-10-07T22:45:00Z,47.06
1,634,0 SYNCOM 2 (A 26),2025-10-07T22:47:00Z,2025-10-07T22:48:30Z,71.2
1,39727,0 LUCH 5V,2025-10-07T22:50:30Z,2025-10-07T22:52:00Z,53.5
1,24769,0 BSAT-1A,2025-10-07T22:54:00Z,2025-10-07T22:55:30Z,23.2
1,50319,0 INMARSAT 6-F1,2025-10-07T22:57:30Z,2025-10-07T22:59:00Z,51.84
1,45986,0 EXPRESS 80,2025-10-07T23:01:00Z,2025-10-07T23:02:30Z,51.85
1,22723,0 HISPASAT 1B,2025-10-07T23:04:30Z,2025-10-07T23:06:00Z,65.15
1,21016,0 RADUGA 26,2025-10-07T23:08:00Z,2025-10-07T23:09:30Z,64.47
1,29648,0 MEASAT 3,2025-10-07T23:11:30Z,2025-10-07T23:13:00Z,51.27
1,42951,0 BSAT-4A,2025-10-07T23:15:00Z,2025-10-07T23:16:30Z,44.63
1,23199,0 BRAZILSAT B1,2025-10-07T23:18:30Z,2025-10-07T23:20:00Z,57.7
1,17561,0 GOES 7,2025-10-07T23:22:00Z,2025-10-07T23:23:30Z,66.28
