norad_id,satellite_name,observation_start_utc,observation_end_utc,peak_elevation
35873,0 NIMIQ 5,2025-10-09T13:45:00Z,2025-10-09T13:46:30Z,48.83
21805,0 USA 75,2025-10-09T13:48:30Z,2025-10-09T13:50:00Z,48.74
40874,0 INTELSAT 34,2025-10-09T13:52:00Z,2025-10-09T13:53:30Z,51.84
9047,0 COMSTAR 2,2025-10-09T13:55:30Z,2025-10-09T13:57:00Z,15.26
10294,0 SIRIO,2025-10-09T17:50:00Z,2025-10-09T17:51:30Z,58.67
27400,0 ASTRA 3A,2025-10-09T19:14:30Z,2025-10-09T19:16:00Z,60.19
25546,0 BONUM 1,2025-10-09T19:52:30Z,2025-10-09T19:54:00Z,58.07
47321,0 TIANTONG-1 3,2025-10-09T19:56:00Z,2025-10-09T19:57:30Z,53.91
25045,0 KUPON,2025-10-09T19:59:30Z,2025-10-09T20:01:00Z,67.97
39237,0 AMOS 4,2025-10-09T20:03:00Z,2025-10-09T20:04:30Z,51.87
39020,0 EUTE 70B,2025-10-09T20:06:30Z,2025-10-09T20:08:00Z,51.93
41903,0 JCSAT 15,2025-10-09T20:26:30Z,2025-10-09T20:28:00Z,44.43
10778,0 INTELSAT 4A-F6,2025-10-09T20:30:00Z,2025-10-09T20:31:30Z,46.67
22836,0 RADUGA 30,2025-10-09T20:33:30Z,2025-10-09T20:35:00Z,67.98
9503,0 EKRAN 1,2025-10-09T20:37:00Z,2025-10-09T20:38:30Z,50.22
42951,0 BSAT-4A,2025-10-09T20:40:30Z,2025-10-09T20:42:00Z,44.63
52940,0 WFOV (USA 332),2025-10-09T21:02:00Z,2025-10-09T21:03:30Z,40.32
38070,0 WGS F4 (USA 233),2025-10-09T21:05:30Z,2025-10-09T21:07:00Z,51.8
21873,0 USA 78,2025-10-09T21:09:00Z,2025-10-09T21:10:30Z,68.49
38107,0 APSTAR 7,2025-10-09T21:12:30Z,2025-10-09T21:14:00Z,51.85
23199,0 BRAZILSAT B1,2025-10-09T21:16:00Z,2025-10-09T21:17:30Z,57.7
49062,0 CHINASAT 2E,2025-10-09T21:19:30Z,2025-10-09T21:21:00Z,50.02
22723,0 HISPASAT 1B,2025-10-09T21:23:00Z,2025-10-09T21:24:30Z,65.15
45985,0 EXPRESS 103,2025-10-09T21:26:30Z,2025-10-09T21:28:00Z,50.46
24798,0 DFH-3 2,2025-10-09T21:30:00Z,2025-10-09T21:31:30Z,61.05
50319,0 INMARSAT 6-F1,2025-10-09T21:33:30Z,2025-10-09T21:35:00Z,51.84
62028,0 GSAT 20,2025-10-09T21:37:00Z,2025-10-09T21:38:30Z,51.84
41588,0 ABS 2A,2025-10-09T21:40:30Z,2025-10-09T21:42:00Z,51.84
26372,0 GORIZONT 33,2025-10-09T21:44:00Z,2025-10-09T21:45:30Z,31.31
17561,0 GOES 7,2025-10-09T21:47:30Z,2025-10-09T21:49:00Z,66.28
39508,0 ABS 2,2025-10-09T21:51:00Z,2025-10-09T21:52:30Z,51.85
65486,0 SHIYAN 29,2025-10-09T21:54:30Z,2025-10-09T21:56:00Z,81.21
21016,0 RADUGA 26,2025-10-09T21:58:00Z,2025-10-09T21:59:30Z,64.47
48808,0 FENGYUN 4B,2025-10-09T22:01:30Z,2025-10-09T22:03:00Z,47.26
24652,0 ARABSAT 2B,2025-10-09T22:05:00Z,2025-10-09T22:06:30Z,29.48
49125,0 CHINASAT 9B,2025-10-09T22:08:30Z,2025-10-09T22:10:00Z,48.79
34941,0 SES 7 (PROTOSTAR 2),2025-10-09T22:12:00Z,2025-10-09T22:13:30Z,45.49
12564,0 EKRAN 7,2025-10-09T22:15:30Z,2025-10-09T22:17:00Z,55.52
39017,0 CHINASAT 12,2025-10-09T22:19:00Z,2025-10-09T22:20:30Z,51.84
31800,0 CHINASAT 6B,2025-10-09T22:22:30Z,2025-10-09T22:24:00Z,43.37
44204,0 BEIDOU 3 IGSO-1,2025-10-09T22:26:00Z,2025-10-09T22:27:30Z,54.31
13035,0 SATCOM 4,2025-10-09T22:39:30Z,2025-10-09T22:41:00Z,18.32
15561,0 BRAZILSAT 1,2025-10-09T22:43:00Z,2025-10-09T22:44:30Z,55.76
14867,0 COSMOS 1546,2025-10-09T22:46:30Z,2025-10-09T22:48:00Z,59.89
26089,0 GARUDA 1,2025-10-09T22:50:00Z,2025-10-09T22:51:30Z,56.88
40880,0 GSAT 6,2025-10-09T22:53:30Z,2025-10-09T22:55:00Z,51.87
22210,0 EKRAN 20,2025-10-09T22:57:00Z,2025-10-09T22:58:30Z,66.22
6437,0 ANIK A2 (TELESAT 2),2025-10-09T23:00:30Z,2025-10-09T23:02:00Z,55.87
634,0 SYNCOM 2 (A 26),2025-10-09T23:04:00Z,2025-10-09T23:05:30Z,71.2
41586,0 BD-2-G7,2025-10-09T23:07:30Z,2025-10-09T23:09:00Z,45.34
55686,0 CHINASAT-26,2025-10-09T23:11:00Z,2025-10-09T23:12:30Z,34.22
32404,0 THURAYA 3,2025-10-09T23:14:30Z,2025-10-09T23:16:00Z,55.58
58995,0 TELKOMSAT 113BT,2025-10-09T23:18:00Z,2025-10-09T23:19:30Z,42.7
18384,0 COSMOS 1888,2025-10-09T23:21:30Z,2025-10-09T23:23:00Z,22.53
