norad_id,satellite_name,observation_start_utc,observation_end_utc,peak_elevation
22931,0 THAICOM 1,2025-10-10T13:45:00Z,2025-10-10T13:46:30Z,62.53
29648,0 MEASAT 3,2025-10-10T19:54:30Z,2025-10-10T19:56:00Z,51.27
14783,0 COSMOS 1540,2025-10-10T19:58:00Z,2025-10-10T19:59:30Z,62.22
45920,0 KOREASAT 116,2025-10-10T20:51:00Z,2025-10-10T20:52:30Z,40.59
26469,0 BRAZILSAT B4,2025-10-10T20:54:30Z,2025-10-10T20:56:00Z,49.41
61910,0 KOREASAT 6A,2025-10-10T20:58:00Z,2025-10-10T20:59:30Z,40.69
27775,0 COSMOS 2397,2025-10-10T21:44:30Z,2025-10-10T21:46:00Z,30.73
22694,0 HGS 4 (GALAXY 4),2025-10-10T21:48:00Z,2025-10-10T21:49:30Z,68.46
37776,0 BSAT-3C,2025-10-10T21:51:30Z,2025-10-10T21:53:00Z,44.5
41744,0 USA 270,2025-10-10T21:55:00Z,2025-10-10T21:56:30Z,29.96
21038,0 RADUGA 1-2,2025-10-10T21:58:30Z,2025-10-10T22:00:00Z,61.96
43450,0 APSTAR 6C,2025-10-10T22:02:00Z,2025-10-10T22:03:30Z,27.24
38331,0 JCSAT 13,2025-10-10T22:05:30Z,2025-10-10T22:07:00Z,35.04
10792,0 YURI (BSE),2025-10-10T22:09:00Z,2025-10-10T22:10:30Z,47.55
37933,0 ASIASAT 7,2025-10-10T22:12:30Z,2025-10-10T22:14:00Z,46.92
19772,0 INTELSAT 515,2025-10-10T22:16:00Z,2025-10-10T22:17:30Z,64.62
25258,0 UFO 8 (USA 138),2025-10-10T22:19:30Z,2025-10-10T22:21:00Z,34.01
41552,0 THAICOM 8,2025-10-10T22:23:00Z,2025-10-10T22:24:30Z,51.91
41380,0 SES 9,2025-10-10T22:26:30Z,2025-10-10T22:28:00Z,45.43
29045,0 JCSAT 9,2025-10-10T22:30:00Z,2025-10-10T22:31:30Z,29.06
44709,0 BEIDOU 3 IGSO-3,2025-10-10T22:33:30Z,2025-10-10T22:35:00Z,27.29
41241,0 IRNSS 1E,2025-10-10T22:37:00Z,2025-10-10T22:38:30Z,68.44
52903,0 CMS-02,2025-10-10T22:40:30Z,2025-10-10T22:42:00Z,51.85
39234,0 GSAT 7,2025-10-10T22:44:00Z,2025-10-10T22:45:30Z,51.84
36106,0 INTELSAT 15,2025-10-10T22:47:30Z,2025-10-10T22:49:00Z,51.83
63924,0 TJS-19,2025-10-10T22:51:00Z,2025-10-10T22:52:30Z,20.71
28094,0 YAMAL 201,2025-10-10T22:54:30Z,2025-10-10T22:56:00Z,48.74
52255,0 CHINASAT 6D,2025-10-10T22:58:00Z,2025-10-10T22:59:30Z,34.2
41882,0 FENGYUN 4A,2025-10-10T23:01:30Z,2025-10-10T23:03:00Z,36.23
48618,0 SBIRS GEO 5 (USA 315),2025-10-10T23:05:00Z,2025-10-10T23:06:30Z,55.46
64470,0 CHINASAT-9C,2025-10-10T23:08:30Z,2025-10-10T23:10:00Z,51.42
58253,0 CHINASAT-6E,2025-10-10T23:12:00Z,2025-10-10T23:13:30Z,41.01
62456,0 AGILA,2025-10-10T23:15:30Z,2025-10-10T23:17:00Z,12.19
63075,0 CHINASAT 10R,2025-10-10T23:19:00Z,2025-10-10T23:20:30Z,44.16
62876,0 QZS-6,2025-10-10T23:22:30Z,2025-10-10T23:24:00Z,51.7
