norad_id,satellite_name,observation_start_utc,observation_end_utc,peak_elevation
39504,0 TDRS 12,2025-10-11T13:45:00Z,2025-10-11T13:46:30Z,51.61
22205,0 GALAXY 7,2025-10-11T13:48:30Z,2025-10-11T13:50:00Z,50.17
1317,0 INTELSAT 1-F1,2025-10-11T13:52:00Z,2025-10-11T13:53:30Z,59.06
33463,0 FENGYUN 2E,2025-10-11T13:55:30Z,2025-10-11T13:57:00Z,13.85
26590,0 INTELSAT 12 (PAS 12),2025-10-11T17:28:30Z,2025-10-11T17:30:00Z,48.15
29163,0 THAICOM 5,2025-10-11T21:04:30Z,2025-10-11T21:06:00Z,41.27
44910,0 SJ-20,2025-10-11T21:08:00Z,2025-10-11T21:09:30Z,51.87
9416,0 RADUGA 2,2025-10-11T21:11:30Z,2025-10-11T21:13:00Z,53.96
28184,0 ABS 4 (MBSAT),2025-10-11T21:15:00Z,2025-10-11T21:16:30Z,48.79
42662,0 CHINASAT 16,2025-10-11T21:18:30Z,2025-10-11T21:20:00Z,44.22
15057,0 RADUGA 15,2025-10-11T21:33:00Z,2025-10-11T21:34:30Z,30.78
42695,0 GSAT 9,2025-10-11T21:36:30Z,2025-10-11T21:38:00Z,50.27
41911,0 TJS-2,2025-10-11T21:40:00Z,2025-10-11T21:41:30Z,51.75
37384,0 BEIDOU 8,2025-10-11T21:43:30Z,2025-10-11T21:45:00Z,68.68
10987,0 RADUGA 4,2025-10-11T21:47:00Z,2025-10-11T21:48:30Z,48.51
43432,0 COSMOS 2526,2025-10-11T21:50:30Z,2025-10-11T21:52:00Z,31.91
21906,0 GALAXY 5,2025-10-11T21:54:00Z,2025-10-11T21:55:30Z,66.43
11484,0 WESTAR 3,2025-10-11T21:57:30Z,2025-10-11T21:59:00Z,27.07
25152,0 BRAZILSAT B3,2025-10-11T22:01:00Z,2025-10-11T22:02:30Z,58.45
37207,0 BSAT-3B,2025-10-11T22:04:30Z,2025-10-11T22:06:00Z,44.57
10024,0 INTELSAT 4A-F4,2025-10-11T22:08:00Z,2025-10-11T22:09:30Z,31.2
23435,0 USA 107,2025-10-11T22:11:30Z,2025-10-11T22:13:00Z,42.98
28786,0 IPSTAR 1,2025-10-11T22:15:00Z,2025-10-11T22:16:30Z,38.33
43286,0 IRNSS 1I,2025-10-11T22:18:30Z,2025-10-11T22:20:00Z,34.76
46112,0 BSAT-4B,2025-10-11T22:22:00Z,2025-10-11T22:23:30Z,44.6
45344,0 BEIDOU 3 G2,2025-10-11T22:25:30Z,2025-10-11T22:27:00Z,53.93
2608,0 ATS 1,2025-10-11T22:29:00Z,2025-10-11T22:30:30Z,53.19
53813,0 CHINASAT 1E,2025-10-11T22:32:30Z,2025-10-11T22:34:00Z,51.86
43463,0 BANGABANDHUSAT-1,2025-10-11T22:36:00Z,2025-10-11T22:37:30Z,38.6
41434,0 BEIDOU IGSO-6,2025-10-11T22:39:30Z,2025-10-11T22:41:00Z,81.21
41745,0 USA 271,2025-10-11T22:43:00Z,2025-10-11T22:44:30Z,50.27
13554,0 EKRAN 9,2025-10-11T22:46:30Z,2025-10-11T22:48:00Z,54.6
20558,0 ASIASAT 1,2025-10-11T22:50:00Z,2025-10-11T22:51:30Z,68.81
28194,0 RADUGA 1-7,2025-10-11T22:53:30Z,2025-10-11T22:55:00Z,55.5
33051,0 CHINASAT 9,2025-10-11T22:57:00Z,2025-10-11T22:58:30Z,51.42
50322,0 SHIYAN 12 02 (SY-12 02),2025-10-11T23:00:30Z,2025-10-11T23:02:00Z,36.21
45026,0 GSAT 30,2025-10-11T23:04:00Z,2025-10-11T23:05:30Z,51.84
19508,0 CS 3B,2025-10-11T23:07:30Z,2025-10-11T23:09:00Z,37.64
29495,0 OPTUS D1,2025-10-11T23:11:00Z,2025-10-11T23:12:30Z,13.69
23613,0 TDRS 7,2025-10-11T23:14:30Z,2025-10-11T23:16:00Z,66.48
41591,0 BRISAT,2025-10-11T23:18:00Z,2025-10-11T23:19:30Z,13.55
41469,0 IRNSS 1G,2025-10-11T23:21:30Z,2025-10-11T23:23:00Z,32.73
